Station Name;Channel Name;Channel Nr;Date Time;Value;Status
WLT-03;Vlaga 09;129;1.9.2017 12:00;23,8;0
WLT-04;Vlaga 10;127;1.9.2017 12:00;27,4;0
WLT-04;Vlaga 11;128;1.9.2017 12:00;28,1;0
WLT-04;Vlaga 12;129;1.9.2017 12:00;30,2;0
WLT-05;Vlaga 13;127;1.9.2017 12:00;32,3;0
WLT-05;Vlaga 14;128;1.9.2017 12:00;36,5;0
WLT-05;Vlaga 15;129;1.9.2017 12:00;30,6;0
WLT-06;Vlaga 16;127;1.9.2017 12:00;29,6;0
WLT-06;Vlaga 17;128;1.9.2017 12:00;31,5;0
WLT-06;Vlaga 18;129;1.9.2017 12:00;29,7;0
WLT-01;Vlaga 01;127;1.9.2017 13:00;31,5;0
WLT-01;Vlaga 02;128;1.9.2017 13:00;25,9;0
WLT-01;Vlaga 03;129;1.9.2017 13:00;30;0
WLT-02;Vlaga 04;127;1.9.2017 13:00;26,3;0
WLT-02;Vlaga 05;128;1.9.2017 13:00;21,7;0
WLT-02;Vlaga 06;129;1.9.2017 13:00;23,3;0
WLT-03;Vlaga 07;127;1.9.2017 13:00;31,5;0
WLT-03;Vlaga 08;128;1.9.2017 13:00;33,3;0
WLT-03;Vlaga 09;129;1.9.2017 13:00;23,8;0
WLT-04;Vlaga 10;127;1.9.2017 13:00;27,3;0
WLT-04;Vlaga 11;128;1.9.2017 13:00;28,1;0
WLT-04;Vlaga 12;129;1.9.2017 13:00;27,4;0
WLT-05;Vlaga 13;127;1.9.2017 13:00;32,5;0
WLT-05;Vlaga 14;128;1.9.2017 13:00;33,9;0
WLT-05;Vlaga 15;129;1.9.2017 13:00;31,2;0
WLT-06;Vlaga 16;127;1.9.2017 13:00;29,4;0
WLT-06;Vlaga 17;128;1.9.2017 13:00;31,7;0
WLT-06;Vlaga 18;129;1.9.2017 13:00;30,4;0
WLT-01;Vlaga 01;127;1.9.2017 14:00;31,7;0
WLT-01;Vlaga 02;128;1.9.2017 14:00;25,7;0
WLT-01;Vlaga 03;129;1.9.2017 14:00;29,9;0
